Output from NeEstimator v2.1
Starting time: Fri Oct 09 14:22:39 2020
Input File: "snps.gen"

Number of Loci = 897


LINKAGE DISEQUILIBRIUM METHOD, Mating Model: Random

Lowest allele frequencies used:     0.0500    0.0200    0.0100
Up to 17 rightmost characters are shown for Population name.
-------------------------------------------------------------
                   	         	      	             	            	         	          	         	    Parametric CI		    Jackknife CI
Population [#:Name]	Samp Size	PCrit.	Weighted Mean	Ind. Alleles	    r^2  	  Exp(r^2)	     Ne  	       Low	      High	       Low	      High	  (Eff.df)
                   	         	0.0200	       1.0   	        50  	 0.000000	  5.348800	     -0.3	  Infinite	  Infinite	  Infinite	  Infinite	         0
                   	         	0.0100	       1.0   	        50  	 0.000000	  5.348800	     -0.3	  Infinite	  Infinite	  Infinite	  Infinite	         0
65:V800            	     19  	0.0500	      14.6   	      2966  	 0.087108	  0.080867	     47.6	      26.6	     154.4	      10.9	  Infinite	       249
                   	         	0.0200	      14.8   	     12729  	 0.087722	  0.080129	     38.8	      29.7	      54.5	      13.5	  Infinite	       475
                   	         	0.0100	      14.8   	     12729  	 0.087722	  0.080129	     38.8	      29.7	      54.5	      13.5	  Infinite	       475
66:V874            	      2  	0.0500	       1.5   	       201  	 0.283414	  1.936948	     -0.7	  Infinite	  Infinite	  Infinite	  Infinite	         0
                   	         	0.0200	       1.5   	       201  	 0.283414	  1.936948	     -0.7	  Infinite	  Infinite	  Infinite	  Infinite	         0
                   	         	0.0100	       1.5   	       201  	 0.283414	  1.936948	     -0.7	  Infinite	  Infinite	  Infinite	  Infinite	         0
67:V55             	     20  	0.0500	       8.1   	      5037  	 0.145283	  0.146456	   -264.4	      64.2	  Infinite	       7.6	  Infinite	       205
                   	         	0.0200	       9.3   	     10973  	 0.135384	  0.125476	     29.3	      20.9	      46.4	       8.4	  Infinite	       453
                   	         	0.0100	       9.3   	     10973  	 0.135384	  0.125476	     29.3	      20.9	      46.4	       8.4	  Infinite	       453
68:V891            	     20  	0.0500	       7.2   	      5139  	 0.174142	  0.177248	   -100.8	      78.7	  Infinite	       2.2	  Infinite	        73
                   	         	0.0200	       7.7   	      7374  	 0.164388	  0.160308	     73.8	      30.6	  Infinite	       3.0	  Infinite	       134
                   	         	0.0100	       7.7   	      7374  	 0.164388	  0.160308	     73.8	      30.6	  Infinite	       3.0	  Infinite	       134
69:V667            	     14  	0.0500	       8.3   	      3910  	 0.137224	  0.148550	    -28.8	  Infinite	  Infinite	      27.2	  Infinite	       376
                   	         	0.0200	       9.0   	      6675  	 0.122192	  0.134354	    -26.9	  Infinite	  Infinite	     969.4	  Infinite	       853
                   	         	0.0100	       9.0   	      6675  	 0.122192	  0.134354	    -26.9	  Infinite	  Infinite	     969.4	  Infinite	       853
70:V681            	      8  	0.0500	       5.8   	      4202  	 0.237814	  0.249472	    -28.0	  Infinite	  Infinite	       4.6	  Infinite	       204
                   	         	0.0200	       5.8   	      4202  	 0.237814	  0.249472	    -28.0	  Infinite	  Infinite	       4.6	  Infinite	       204
                   	         	0.0100	       5.8   	      4202  	 0.237814	  0.249472	    -28.0	  Infinite	  Infinite	       4.6	  Infinite	       204
71:V819            	      6  	0.0500	       4.7   	      3166  	 0.269137	  0.355125	     -4.8	  Infinite	  Infinite	  Infinite	  Infinite	       258
                   	         	0.0200	       4.7   	      3166  	 0.269137	  0.355125	     -4.8	  Infinite	  Infinite	  Infinite	  Infinite	       258
                   	         	0.0100	       4.7   	      3166  	 0.269137	  0.355125	     -4.8	  Infinite	  Infinite	  Infinite	  Infinite	       258
72:V825            	      3  	0.0500	       2.3   	      2318  	 0.492860	  1.068927	     -1.3	  Infinite	  Infinite	       1.0	  Infinite	        14
                   	         	0.0200	       2.3   	      2318  	 0.492860	  1.068927	     -1.3	  Infinite	  Infinite	       1.0	  Infinite	        14
                   	         	0.0100	       2.3   	      2318  	 0.492860	  1.068927	     -1.3	  Infinite	  Infinite	       1.0	  Infinite	        14
73:V1058           	      7  	0.0500	       1.6   	       871  	 0.460342	  1.520643	     -0.9	  Infinite	  Infinite	  Infinite	  Infinite	        21
                   	         	0.0200	       1.6   	       871  	 0.460342	  1.520643	     -0.9	  Infinite	  Infinite	  Infinite	  Infinite	        21
                   	         	0.0100	       1.6   	       871  	 0.460342	  1.520643	     -0.9	  Infinite	  Infinite	  Infinite	  Infinite	        21
74:V1065           	     28  	0.0500	       4.4   	      2742  	 0.152727	  0.211844	     -6.6	  Infinite	  Infinite	  Infinite	  Infinite	        97
                   	         	0.0200	       5.1   	      4762  	 0.168569	  0.179998	    -28.5	  Infinite	  Infinite	       3.1	  Infinite	        95
                   	         	0.0100	       5.1   	      4762  	 0.168569	  0.179998	    -28.5	  Infinite	  Infinite	       3.1	  Infinite	        95
75:V828            	     10  	0.0500	       7.5   	      3937  	 0.160082	  0.184489	    -14.1	  Infinite	  Infinite	      24.6	  Infinite	       206
                   	         	0.0200	       7.5   	      3937  	 0.160082	  0.184489	    -14.1	  Infinite	  Infinite	      24.6	  Infinite	       206
                   	         	0.0100	       7.5   	      3937  	 0.160082	  0.184489	    -14.1	  Infinite	  Infinite	      24.6	  Infinite	       206
76:V284            	      9  	0.0500	       5.1   	      3748  	 0.216507	  0.276305	     -6.5	  Infinite	  Infinite	  Infinite	  Infinite	       180
                   	         	0.0200	       5.1   	      3748  	 0.216507	  0.276305	     -6.5	  Infinite	  Infinite	  Infinite	  Infinite	       180
                   	         	0.0100	       5.1   	      3748  	 0.216507	  0.276305	     -6.5	  Infinite	  Infinite	  Infinite	  Infinite	       180
77:V293            	     18  	0.0500	      14.0   	      3601  	 0.091699	  0.084367	     40.2	      24.5	      93.4	      11.7	  Infinite	       352
                   	         	0.0200	      14.2   	      8057  	 0.084896	  0.083669	    249.1	      77.0	  Infinite	      18.8	  Infinite	       370
                   	         	0.0100	      14.2   	      8057  	 0.084896	  0.083669	    249.1	      77.0	  Infinite	      18.8	  Infinite	       370
78:V616            	     16  	0.0500	       5.4   	      3062  	 0.221287	  0.263880	     -8.6	  Infinite	  Infinite	       1.5	  Infinite	        39
                   	         	0.0200	       5.6   	      3640  	 0.203982	  0.246608	     -8.6	  Infinite	  Infinite	       2.2	  Infinite	        48
                   	         	0.0100	       5.6   	      3640  	 0.203982	  0.246608	     -8.6	  Infinite	  Infinite	       2.2	  Infinite	        48
79:V632            	      3  	0.0500	       2.4   	      1003  	 0.528973	  0.975920	     -1.5	  Infinite	  Infinite	  Infinite	  Infinite	        47
                   	         	0.0200	       2.4   	      1003  	 0.528973	  0.975920	     -1.5	  Infinite	  Infinite	  Infinite	  Infinite	        47
                   	         	0.0100	       2.4   	      1003  	 0.528973	  0.975920	     -1.5	  Infinite	  Infinite	  Infinite	  Infinite	        47
80:V689            	     20  	0.0500	      17.7   	      3232  	 0.055728	  0.065742	    -32.4	  Infinite	  Infinite	  Infinite	  Infinite	       690
                   	         	0.0200	      17.8   	      6804  	 0.063399	  0.065651	   -138.4	  Infinite	  Infinite	      50.8	  Infinite	       562
                   	         	0.0100	      17.8   	      6804  	 0.063399	  0.065651	   -138.4	  Infinite	  Infinite	      50.8	  Infinite	       562
81:V838            	     11  	0.0500	       7.5   	      5801  	 0.155715	  0.182078	    -13.2	  Infinite	  Infinite	      11.6	  Infinite	       117
                   	         	0.0200	       7.6   	      6517  	 0.160590	  0.177161	    -20.1	  Infinite	  Infinite	       7.3	  Infinite	       123
                   	         	0.0100	       7.6   	      6517  	 0.160590	  0.177161	    -20.1	  Infinite	  Infinite	       7.3	  Infinite	       123
82:V911            	      1  	0.0500	       1.0   	       405  	 0.000000	  5.348800	     -0.3	  Infinite	  Infinite	  Infinite	  Infinite	         0
                   	         	0.0200	       1.0   	       405  	 0.000000	  5.348800	     -0.3	  Infinite	  Infinite	  Infinite	  Infinite	         0
                   	         	0.0100	       1.0   	       405  	 0.000000	  5.348800	     -0.3	  Infinite	  Infinite	  Infinite	  Infinite	         0
83:V1093           	     13  	0.0500	       2.1   	      5502  	 0.296302	  0.707148	     -1.6	  Infinite	  Infinite	  Infinite	  Infinite	       146
                   	         	0.0200	       2.1   	      5502  	 0.296302	  0.707148	     -1.6	  Infinite	  Infinite	  Infinite	  Infinite	       146
                   	         	0.0100	       2.1   	      5502  	 0.296302	  0.707148	     -1.6	  Infinite	  Infinite	  Infinite	  Infinite	       146
84:V537            	     18  	0.0500	      11.1   	      1704  	 0.104367	  0.109650	    -59.9	     145.3	  Infinite	       9.8	  Infinite	       127
                   	         	0.0200	      12.1   	      8482  	 0.095768	  0.101194	    -58.4	  Infinite	  Infinite	      16.8	  Infinite	       200
                   	         	0.0100	      12.1   	      8482  	 0.095768	  0.101194	    -58.4	  Infinite	  Infinite	      16.8	  Infinite	       200
85:V555            	      9  	0.0500	       4.2   	      2579  	 0.276274	  0.340140	     -6.1	  Infinite	  Infinite	       3.1	  Infinite	        76
                   	         	0.0200	       4.2   	      2579  	 0.276274	  0.340140	     -6.1	  Infinite	  Infinite	       3.1	  Infinite	        76
                   	         	0.0100	       4.2   	      2579  	 0.276274	  0.340140	     -6.1	  Infinite	  Infinite	       3.1	  Infinite	        76
86:V1106           	      9  	0.0500	       4.5   	      1688  	 0.205989	  0.326410	     -3.7	  Infinite	  Infinite	  Infinite	  Infinite	        51
                   	         	0.0200	       4.5   	      1688  	 0.205989	  0.326410	     -3.7	  Infinite	  Infinite	  Infinite	  Infinite	        51
                   	         	0.0100	       4.5   	      1688  	 0.205989	  0.326410	     -3.7	  Infinite	  Infinite	  Infinite	  Infinite	        51
87:V311            	     19  	0.0500	      10.6   	      2984  	 0.101580	  0.114927	    -24.7	  Infinite	  Infinite	       9.7	  Infinite	        83
                   	         	0.0200	      10.9   	      5191  	 0.103764	  0.112400	    -37.3	  Infinite	  Infinite	      10.7	  Infinite	       116
                   	         	0.0100	      10.9   	      5191  	 0.103764	  0.112400	    -37.3	  Infinite	  Infinite	      10.7	  Infinite	       116
88:V330            	     20  	0.0500	      16.2   	      2175  	 0.083282	  0.073365	     29.3	      18.5	      57.7	       5.4	  Infinite	        98
                   	         	0.0200	      16.3   	      8566  	 0.081957	  0.072658	     31.3	      24.3	      42.9	      10.2	  Infinite	       269
                   	         	0.0100	      16.3   	      8566  	 0.081957	  0.072658	     31.3	      24.3	      42.9	      10.2	  Infinite	       269
89:V1115           	      8  	0.0500	       3.0   	       998  	 0.364455	  0.547027	     -2.7	  Infinite	  Infinite	  Infinite	  Infinite	        92
                   	         	0.0200	       3.0   	       998  	 0.364455	  0.547027	     -2.7	  Infinite	  Infinite	  Infinite	  Infinite	        92
                   	         	0.0100	       3.0   	       998  	 0.364455	  0.547027	     -2.7	  Infinite	  Infinite	  Infinite	  Infinite	        92
90:V709            	     20  	0.0500	      16.3   	      3878  	 0.069585	  0.071968	   -130.9	     373.3	  Infinite	      26.8	  Infinite	       279
                   	         	0.0200	      16.1   	      8658  	 0.069088	  0.073323	    -74.4	  Infinite	  Infinite	      32.0	  Infinite	       269
                   	         	0.0100	      16.1   	      8658  	 0.069088	  0.073323	    -74.4	  Infinite	  Infinite	      32.0	  Infinite	       269
91:V729            	     10  	0.0500	       7.5   	      3938  	 0.161322	  0.185015	    -14.5	  Infinite	  Infinite	      18.5	  Infinite	       184
                   	         	0.0200	       7.5   	      3938  	 0.161322	  0.185015	    -14.5	  Infinite	  Infinite	      18.5	  Infinite	       184
                   	         	0.0100	       7.5   	      3938  	 0.161322	  0.185015	    -14.5	  Infinite	  Infinite	      18.5	  Infinite	       184
92:V350            	      2  	0.0500	       1.1   	       622  	 0.421053	  3.306796	     -0.5	  Infinite	  Infinite	  Infinite	  Infinite	         0
                   	         	0.0200	       1.1   	       622  	 0.421053	  3.306796	     -0.5	  Infinite	  Infinite	  Infinite	  Infinite	         0
                   	         	0.0100	       1.1   	       622  	 0.421053	  3.306796	     -0.5	  Infinite	  Infinite	  Infinite	  Infinite	         0
93:V352            	      5  	0.0500	       3.8   	      2174  	 0.338421	  0.502481	     -3.0	  Infinite	  Infinite	  Infinite	  Infinite	       110
                   	         	0.0200	       3.8   	      2174  	 0.338421	  0.502481	     -3.0	  Infinite	  Infinite	  Infinite	  Infinite	       110
                   	         	0.0100	       3.8   	      2174  	 0.338421	  0.502481	     -3.0	  Infinite	  Infinite	  Infinite	  Infinite	       110

Ending time: Fri Oct 09 14:22:47 2020
-------------------------------------

