pop,pcrit,Neb,Neb_lCI,Neb_uCI,He_Ne,He_lCIp,He_uCIp,LDNe,LDNe_lCIp,LDNe_uCIp,LDNe_lCIj,LDNe_uCIj,facet
str_2BO,0.05,2.5,1.6,3.5,4.9,3.5,8.6,Inf,Inf,Inf,2.7,Inf,stream
str_2BO,0.02,2.5,1.6,3.5,4.9,3.5,8.6,Inf,Inf,Inf,2.7,Inf,stream
str_2BO,0.01,2.5,1.6,3.5,4.9,3.5,8.6,Inf,Inf,Inf,2.7,Inf,stream
str_4BO,0.05,3.2,2.1,4.5,4.2,3.2,6.5,Inf,Inf,Inf,2.7,Inf,stream
str_4BO,0.02,3.2,2.1,4.5,4.2,3.2,6.5,Inf,Inf,Inf,2.7,Inf,stream
str_4BO,0.01,3.2,2.1,4.5,4.2,3.2,6.5,Inf,Inf,Inf,2.7,Inf,stream
str_ABE,0.05,1.1,0.9,1.4,4.4,3.3,6.7,Inf,Inf,Inf,8.8,Inf,stream
str_ABE,0.02,1.1,0.9,1.4,6.5,4.8,10.4,Inf,Inf,Inf,6.1,Inf,stream
str_ABE,0.01,1.1,0.9,1.4,6.5,4.8,10.4,Inf,Inf,Inf,6.1,Inf,stream
str_AND,0.05,5.7,2.9,9.4,9.9,4.1,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_AND,0.02,5.7,2.9,9.4,9.9,4.1,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_AND,0.01,5.7,2.9,9.4,9.9,4.1,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_BAT,0.05,2.9,1.8,4.1,3.5,2.7,5.5,Inf,Inf,Inf,3.6,Inf,stream
str_BAT,0.02,2.9,1.8,4.1,3.5,2.7,5.5,Inf,Inf,Inf,3.6,Inf,stream
str_BAT,0.01,2.9,1.8,4.1,3.5,2.7,5.5,Inf,Inf,Inf,3.6,Inf,stream
str_BEA,0.05,0.8,0.7,1,4.9,3.2,11.3,225.1,50.6,Inf,7.9,Inf,stream
str_BEA,0.02,0.8,0.7,1,8.7,5.6,21,10.5,9,12.2,1.7,Inf,stream
str_BEA,0.01,0.8,0.7,1,8.7,5.6,21,10.5,9,12.2,1.7,Inf,stream
str_BGA,0.05,Inf,Inf,Inf,2.7,1.7,7.7,Inf,Inf,Inf,0.8,Inf,stream
str_BGA,0.02,Inf,Inf,Inf,2.7,1.7,7.7,Inf,Inf,Inf,0.8,Inf,stream
str_BGA,0.01,Inf,Inf,Inf,2.7,1.7,7.7,Inf,Inf,Inf,0.8,Inf,stream
str_BYD,0.05,1.3,1.1,1.5,4.2,3.5,5.3,Inf,Inf,Inf,4.9,Inf,stream
str_BYD,0.02,1.3,1.1,1.5,5.1,4.2,6.6,Inf,Inf,Inf,3.1,Inf,stream
str_BYD,0.01,1.3,1.1,1.5,5.1,4.2,6.6,Inf,Inf,Inf,3.1,Inf,stream
str_CCC,0.05,1.5,1.2,1.9,5.5,3.5,14.7,Inf,Inf,Inf,1.6,Inf,stream
str_CCC,0.02,1.5,1.2,1.9,5.5,3.5,14.7,Inf,Inf,Inf,1.6,Inf,stream
str_CCC,0.01,1.5,1.2,1.9,5.5,3.5,14.7,Inf,Inf,Inf,1.6,Inf,stream
str_CMC,0.05,1.3,1,1.6,5.2,3.8,8.4,65.9,15.8,Inf,1.4,Inf,stream
str_CMC,0.02,1.3,1,1.6,6,4.3,9.8,21.4,10.6,109.8,1.5,Inf,stream
str_CMC,0.01,1.3,1,1.6,6,4.3,9.8,21.4,10.6,109.8,1.5,Inf,stream
str_COY,0.05,1.6,1.2,2.1,11.3,5.3,Inf,405.8,68.5,Inf,10,Inf,stream
str_COY,0.02,1.6,1.2,2.1,17.6,8.1,Inf,104,56.8,466.6,9.1,Inf,stream
str_COY,0.01,1.6,1.2,2.1,17.6,8.1,Inf,104,56.8,466.6,9.1,Inf,stream
str_CRA,0.05,0.7,0.6,0.8,1.5,1.2,2.3,Inf,Inf,Inf,2.9,Inf,stream
str_CRA,0.02,0.7,0.6,0.8,3.8,2.6,7.2,6.2,4.2,8.4,1.9,36.8,stream
str_CRA,0.01,0.7,0.6,0.8,3.8,2.6,7.2,6.2,4.2,8.4,1.9,36.8,stream
str_CWC,0.05,1.8,1.2,2.4,4.6,2.8,14.5,Inf,Inf,Inf,Inf,Inf,stream
str_CWC,0.02,1.8,1.2,2.4,4.6,2.8,14.5,Inf,Inf,Inf,Inf,Inf,stream
str_CWC,0.01,1.8,1.2,2.4,4.6,2.8,14.5,Inf,Inf,Inf,Inf,Inf,stream
str_DIX,0.05,10.6,5,18.3,2.8,2.3,3.7,Inf,Inf,Inf,1.4,Inf,stream
str_DIX,0.02,10.6,5,18.3,2.8,2.3,3.7,Inf,Inf,Inf,1.4,Inf,stream
str_DIX,0.01,10.6,5,18.3,2.8,2.3,3.7,Inf,Inf,Inf,1.4,Inf,stream
str_EFC,0.05,3.1,2.1,4.2,4,2.8,7.5,Inf,Inf,Inf,Inf,Inf,stream
str_EFC,0.02,3.1,2.1,4.2,4,2.8,7.5,Inf,Inf,Inf,Inf,Inf,stream
str_EFC,0.01,3.1,2.1,4.2,4,2.8,7.5,Inf,Inf,Inf,Inf,Inf,stream
str_FCC,0.05,6.1,4.1,8.4,11.6,6.4,82,Inf,Inf,Inf,Inf,Inf,stream
str_FCC,0.02,6.1,4.1,8.4,11.6,6.4,82,Inf,Inf,Inf,Inf,Inf,stream
str_FCC,0.01,6.1,4.1,8.4,11.6,6.4,82,Inf,Inf,Inf,Inf,Inf,stream
str_FOR,0.05,1,0.9,1.2,6,4.5,9.1,166.4,36.9,Inf,1.6,Inf,stream
str_FOR,0.02,1,0.9,1.2,8.2,6.1,13.1,15.6,11.8,21.9,1.9,Inf,stream
str_FOR,0.01,1,0.9,1.2,8.2,6.1,13.1,15.6,11.8,21.9,1.9,Inf,stream
str_FRZ,0.05,3.2,1.9,4.9,4.2,2.9,8.4,261.7,51.4,Inf,8.7,Inf,stream
str_FRZ,0.02,3.2,1.9,4.9,6.4,4.3,13.1,132.6,55.7,Inf,11,Inf,stream
str_FRZ,0.01,3.2,1.9,4.9,6.4,4.3,13.1,132.6,55.7,Inf,11,Inf,stream
str_GAN,0.05,1.5,1.1,1.9,4.5,3.3,7.6,Inf,Inf,Inf,6.2,Inf,stream
str_GAN,0.02,1.5,1.1,1.9,6.9,4.9,12.2,32.6,23,52.6,2.9,Inf,stream
str_GAN,0.01,1.5,1.1,1.9,6.9,4.9,12.2,32.6,23,52.6,2.9,Inf,stream
str_GOC,0.05,2.6,1.8,3.7,3.3,2.4,5.3,8.2,5.9,11.6,1.6,Inf,stream
str_GOC,0.02,2.6,1.8,3.7,3.3,2.4,5.3,8.2,5.9,11.6,1.6,Inf,stream
str_GOC,0.01,2.6,1.8,3.7,3.3,2.4,5.3,8.2,5.9,11.6,1.6,Inf,stream
