locale,Het.Hom,ho,pi,n,Relative.percent.RBT,year,ne.rand,lcl.rand,ucl.rand,ne.nonrand,lcl.nonrand,ucl.nonrand
str_2BO.2016,0.039858382,0.030013892,0.024981603,10,0,2016,16,8,35,23,12,51
str_4BO.2016,0.044970798,0.034556654,0.027823335,10,0.17,2016,26,12,184,85,41,1235
str_ABE.2016,0.026094086,0.022639868,0.020911367,15,0.206666667,2016,36,19,84,78,45,169
str_AND.2016,0.016036304,0.015281385,0.014648685,7,0,2016,21,8,Inf,46,19,Inf
str_BEA.2009,0.017946015,0.016357487,0.016194917,10,0.27,2009,33,15,177,67,34,346
str_BEA.2015,0.024619869,0.024830672,0.024081345,11,0.118181818,2015,25,13,49,79,50,144
str_BGA.2000,0.005041751,0.005668934,0.005396825,3,0,2000,6,2,Inf,Inf,1,Inf
str_BYD.2015,0.069452292,0.063145313,0.055100842,16,0.411764706,2015,16,9,30,35,22,58
str_CCC.2017,0.025113606,0.018304512,0.017753234,10,0.29,2017,18,8,103,82,39,316
str_CMC.2016,0.016628891,0.018089608,0.01670849,14,0.05,2016,29,16,63,94,59,177
str_COY.2009,0.041811663,0.023212135,0.020538884,10,0.21,2009,13,6,34,27,15,54
str_COY.2015,0.022688647,0.021376501,0.022241517,15,0.093333333,2015,44,23,123,50,26,124
str_CRA.2009,0.004630283,0.004539425,0.004427871,21,0,2009,4,2,15,44,28,71
str_CWC.2000,0.007111086,0.007120721,0.006775352,9,0.033333333,2000,12,6,33,117,68,260
str_DIX.2011,0.029458531,0.028952123,0.021796165,6,0,2011,Inf,1,Inf,Inf,1,Inf
str_DIX.2014,0.027909037,0.033788174,0.03079922,3,0,2014,Inf,1,Inf,Inf,1,Inf
str_EFC.2017,0.027153351,0.02630662,0.020970561,8,0.0625,2017,17,8,46,28,15,62
str_FCC.2017,0.082800887,0.082199007,0.07999851,9,2.577777778,2017,55,21,Inf,82,34,Inf
str_FOR.1997,0.116218959,0.038243644,0.035792828,7,0.25,1997,112,23,Inf,700,138,Inf
str_FOR.2017,0.062553726,0.046336788,0.043412904,16,0.15625,2017,34,17,74,80,46,163
str_FRZ.1997,0.030674897,0.026296296,0.024166667,5,0.06,1997,15,6,Inf,Inf,1,Inf
str_FRZ.2000,0.026633547,0.022138623,0.019226168,6,0,2000,60,12,Inf,Inf,1,Inf
str_FRZ.2017,0.027337179,0.02199054,0.017340743,14,0,2017,18,10,40,25,13,50
str_GAN.2000,0.03143936,0.029295689,0.029399774,6,0.016666667,2000,15,5,Inf,Inf,1,Inf
str_GAN.2017,0.028155656,0.021853093,0.020428175,17,0.088235294,2017,29,16,63,39,22,85
str_GOC.2017,0.027143986,0.026561926,0.02053443,10,0.03,2017,9,4,28,16,8,40
str_HAN.2012,0.030904807,0.030368673,0.02566535,18,0.088888889,2012,19,10,40,31,18,57
str_INC.1998,0.089506173,0.082152975,0.082152975,1,NA,1998,NA,NA,NA,NA,NA,NA
str_INK.2000,0.027305982,0.015551048,0.014604462,4,NA,2000,12,3,Inf,Inf,1,Inf
str_INK.2013,0.025629858,0.025568182,0.025568182,2,NA,2013,Inf,1,Inf,Inf,1,Inf
str_INK.2016,0.006988397,0.007628294,0.007628294,2,NA,2016,Inf,1,Inf,Inf,1,Inf
str_IPL.2016,0.020766935,0.020281112,0.019218911,10,0.18,2016,90,32,Inf,155,56,Inf
str_JCC.2017,0.101584127,0.08030485,0.081392138,15,5.593333333,2017,15,7,36,21,11,46
