Group,Sample_ID_Prefix,Basin_Code,Stream_code,GMU,Basin,Creek,Genetic Year,UTM,UTM,Descriptor,N,Watterson’s theta (4Nu),Tajima’s theta (4Nu),Theta deviation,Mean theta,Het/Ho,He/HoStDev,% hybrid,Hyb Notes,PVA Extinction,PVA Ext L95,PVA Ext U95,PVA Abundance 2.5,PVA Abundance 50,PVA Abund Year
bamlist2_ROC_FRZ_2000,ROC_FRZ_2000,ROC,str_FRZ,Eastern,Rock,Frazier,2000,523470,4570442,isolated,6,0.000235789,0.000202896,-0.149964495,0.000219343,,,0,,24.20%,20.90%,26.80%,1711,2984,2000
bamlist2_ROC_FRZ_2017,ROC_FRZ_2017,ROC,str_FRZ,Eastern,Rock,Frazier,2017,523470,4570442,isolated,20,0.000175182,0.000193675,0.100272904,0.000184429,,,0,,24.20%,20.90%,26.80%,74,213,2015
bamlist2_ROC_ROC_2009,ROC_ROC_2009,ROC,str_ROC,Eastern,Rock,Rock,2009,554006,4577886,isolated,14,0.000300371,0.000258105,-0.151362805,0.000279238,,,0,,8.80%,7.60%,10.40%,284,508,2009
bamlist2_ROC_ROC_2017,ROC_ROC_2017,ROC,str_ROC,Eastern,Rock,Rock,2017,554006,4577886,isolated,8,0.00023486,0.000222985,-0.051870341,0.000228923,,,0.02,,8.80%,7.60%,10.40%,148,315,2012
bamlist2_ROC_TOJ_2017,ROC_TOJ_2017,ROC,str_TOJ,Eastern,Rock,Toe Jam,2017,550942,4574637,isolated,20,0.000212834,0.000249156,0.157242037,0.000230995,,,0.02,,5.10%,3.50%,6.10%,685,1295,2017
bamlist2_ROC_WLN_2009,ROC_WLN_2009,ROC,str_WLN,Eastern,Rock,Willow-Nelson,2009,545864,4567687,isolated,20,0.00026854,0.000271218,0.009923472,0.000269879,,,0.08,,5.70%,4.50%,6.70%,1254,2235,2009
bamlist2_ROC_WLN_2017,ROC_WLN_2017,ROC,str_WLN,Eastern,Rock,Willow-Nelson,2017,545864,4567687,isolated,10,0.00020816,0.000235067,0.121412988,0.000221614,,,0,,5.70%,4.50%,6.70%,188,448,2015
bamlist2_SFH_DIX_2011,SFH_DIX_2011,SFH,str_DIX,Eastern,South Fork Humboldt,Dixie,2011,590121,4475175,isolated,6,0.000224727,0.000209255,-0.071299927,0.000216991,,,0,,33.70%,30.60%,35.20%,277,625,2011
bamlist2_SFH_DIX_2014,SFH_DIX_2014,SFH,str_DIX,Eastern,South Fork Humboldt,Dixie,2014,590121,4475175,isolated,3,0.00016517,0.000195566,0.168518885,0.000180368,,,0,,33.70%,30.60%,35.20%,82,242,2014
bamlist2_SFH_LEE_2016,SFH_LEE_2016,SFH,str_LEE,Eastern,South Fork Humboldt,Lee,2016,623708,4496098,isolated,12,0.000352552,0.000222788,-0.451087458,0.00028767,,,0.61,,12.50%,11.60%,13.70%,214,705,1998
bamlist2_SFH_LNG_2012,SFH_LNG_2012,SFH,str_LNG,Eastern,South Fork Humboldt,Long Canyon,2012,631407,4487254,isolated,5,0.000224161,0.000235518,0.049416373,0.00022984,,,0,,2.10%,1.30%,2.60%,345,972,2012
bamlist2_SFH_NFG_2009,SFH_NFG_2009,SFH,str_NFG,Eastern,South Fork Humboldt,North Fork Green,2009,623798,4469340,isolated,8,0.000139915,0.000144463,0.031989094,0.000142189,,,0,,18.70%,17.80%,19.30%,0,25,2001
bamlist2_SFH_PEC_2018,SFH_PEC_2018,SFH,str_PEC,Eastern,South Fork Humboldt,Pearl,2018,619024,4460651,isolated,19,0.000336798,0.000270334,-0.218945316,0.000303566,,,0.1,,5.70%,4.70%,6.60%,651,1272,2006
bamlist2_QUI_CMC_2016,QUI_CMC_2016,QUI,str_CMC,NorthWestern,Black Rock,Colman,2016,333838,4590717,isolated,18,0.000265238,0.000160939,-0.489465356,0.000213088,,,0.04,,5.60%,5.10%,7.60%,521,1144,2008
bamlist2_SUM_MOH_2013,SUM_MOH_2013,SUM,str_MOH,NorthWestern,Black Rock,Mahogany,2013,333577,4599715,isolated,15,0.000422848,0.000334986,-0.231877241,0.000378917,,,0.62,,NA,NA,NA,NA,NA,
bamlist2_WWH_WHO_2011,WWH_WHO_2011,WWH,str_WHO,NorthWestern,Coyote Lake,Whitehorse,2011,401007,4661449,isolated,9,0.000294639,0.000151784,-0.639998743,0.000223211,,,0.03,,8.10%,7.30%,9.40%,10485,21251,2011
bamlist2_WWH_WIL_1996,WWH_WIL_1996,WWH,str_WIL,NorthWestern,Coyote Lake,Willow ,1996,398572,4662849,isolated,8,0.000310583,0.000178872,-0.538196626,0.000244727,,,0.03,,2.30%,1.90%,2.70%,120,1004,2004
bamlist2_LHU_ABE_2016,LHU_ABE_2016,LHU,str_ABE,NorthWestern,Little Humboldt,Abel,2016,443095,4588205,isolated,19,0.00033113,0.000153789,-0.731424482,0.00024246,0.037600217,0.018077531,0.16,,7.00%,5.60%,8.30%,35,112,2012
bamlist2_LHU_INC_2000,LHU_INK_2000,LHU,str_INK,NorthWestern,Little Humboldt,Indian SF,2000,451627,4610600,isolated,4,0.000170198,0.000171188,0.005800076,0.000170693,0.051919787,0.022927842,0.12,,9.40%,7.80%,10.80%,1245,2212,2000
bamlist2_LHU_INC_2013,LHU_INK_2013,LHU,str_INK,NorthWestern,Little Humboldt,Indian SF,2013,451627,4610600,isolated,2,0.000149642,0.000166227,0.105011994,0.000157934,0.037484946,0.000354831,0.08,,9.40%,7.80%,10.80%,1105,2032,2012
bamlist2_LHU_INC_2016,LHU_INK_2016,LHU,str_INK,NorthWestern,Little Humboldt,Indian SF,2016,451627,4610600,isolated,2,0.00012473,0.000120306,-0.03610195,0.000122518,0.019821769,0.007234956,0,,9.40%,7.80%,10.80%,1105,2032,2012
bamlist2_QUI_LON_2011,QUI_LON_2011,QUI,str_LON,NorthWestern,Little Humboldt,Long Canyon,2011,460566,4632215,isolated,14,0.000218207,0.000210137,-0.037677726,0.000214172,,,0.21,,NA,NA,NA,NA,NA,
bamlist2_QUI_LON_2016,QUI_LON_2016,QUI,str_LON,NorthWestern,Little Humboldt,Long Canyon,2016,460566,4632215,isolated,3,0.000342454,0.00032192,-0.061813759,0.000332187,,,1.03,,NA,NA,NA,NA,NA,
bamlist2_QUI_AND_2016,QUI_AND_2016,QUI,str_AND,NorthWestern,Quinn,Andorno,2016,438070,4587922,isolated,7,0.000210279,0.000173813,-0.189876936,0.000192046,,,0,,18.90%,17.70%,20.20%,47,164,2007
bamlist2_QUI_BAT_2013,QUI_NFB_2013,QUI,str_NFB,NorthWestern,Quinn,North Fork Battle,2013,338553,4588041,isolated,8,0.000139273,0.000145337,0.042616919,0.000142305,,,0.03,,5.90%,4.80%,7.40%,702,1292,2008
bamlist2_QUI_NFB_2016,QUI_NFB_2016,QUI,str_NFB,NorthWestern,Quinn,North Fork Battle,2016,338553,4588041,isolated,7,0.000193586,0.000165811,-0.154564646,0.000179698,,,0,,5.90%,4.80%,7.40%,702,1292,2008
