variable	nested_ryear	nested_fyear	rbasin_fyear	rbasin_nocreek_fyear
Het.Hom	-445.420067777871	-425.039287396556	41.7277808406217	-420.138713618808
ho	-495.558270737116	-479.837631012694	16.6533121147174	-471.575633871313
pi	-516.474760636542	-500.106236349054	14.8706223068643	-492.593648170824
ne.rand	632.932177529229	632.083754196826	259.290996036959	630.083754135742
LDNe_0.01	248.394723773373	242.928404883182	NA	242.593502714404
LDNe_0.02	248.364188977672	242.895948644821	NA	242.562479755049
Tajimas.theta.4Nu	-1357.40769552728	-1334.57523273087	-155.826080295656	-1336.5752327445
Wattersons.theta.4Nu	-1293.36945303051	-1268.3941927112	-145.042404263107	-1270.05680629188
