Creek,Basin,year,PVA.Extinction,PVA.Ext.L95,PVA.Ext.U95,PVA.Abundance.50,PVA.Abundance.2.5,PVA.Abund.Year,popname,popnum,year_start,year_end,year_genetics,N_mean,N_median,N_lower,N_upper,N_harmean,N_harmedian,N_lower,N_upper
Little Jack,Maggie,2015,5.1,3.9,6.4,1437,707,2015,LittleJack,87,1996,2015,2015,1362.400622,1334.7,961.14875,1923.30125,526.0602007,528.9307669,228.1426488,808.0489588
Long Canyon,Little Humboldt,2011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
Long Canyon,Little Humboldt,2016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
Long Canyon,South Fork Humboldt,2012,2.1,1.3,2.6,972,345,2012,Mahogany&Segunda&LongCanyon,91,1985,2012,2012,2408.849783,2309.053571,1295.214286,4093.608929,931.2425634,876.2614632,65.39406527,2104.09619
Lower Wolf,Walker,2015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
Macklin,Yuba out of basin,2016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
Mahogany,Black Rock,2013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
Mainstem,Marys,2017,0.3,0.1,0.4,8316,3185,2002,EMR&MRBC&CC&QC&Cutt&Short&WillBas,57,1987,2002,,9486.499797,9394.125,6316.373438,13230.00469,7200.578433,7282.79343,3395.026726,10458.61155
Marys River Basin,Marys,2016,0.3,0.1,0.4,8316,3185,2002,EMR&MRBC&CC&QC&Cutt&Short&WillBas,57,1987,2002,,9486.499797,9394.125,6316.373438,13230.00469,7200.578433,7282.79343,3395.026726,10458.61155
Marysville,Reese,2016,21.1,19,22.7,67,21,1999,,,,,,,,,,,,,
Meiss Meadows,Truckee,2017,26.5,25.5,28.7,8333,5534,2009,,,,,,,,,,,,,
Mill,Walker,2015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
Mill,Walker,2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
Mohawk,Reese,2000,0.2,0,0.4,1553,1024,2000,MohawkCanyon,102,1990,2000,2000,1452.231484,1435.636364,1095.181818,1908,1249.619604,1263.530966,764.4622598,1610.207524
Mohawk,Reese,2016,0.2,0,0.4,1146,568,2007,,,,,,,,,,,,,
Mosquito,Steens out of basin,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
Murphy,Walker,2011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
Murray Canyon,Carson,2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
North Fork Battle,Quinn,2013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
North Fork Battle,Quinn,2016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
North Fork Cold,East Fork Humboldt,2012,13.6,12.1,15.1,1002,522,2012,Cold_NF_up,36,1991,2012,2012,1146.422572,1146.409091,511.8181818,1789.045455,90.67697594,51.0636842,6.940053544,383.7845724
North Fork Green,South Fork Humboldt,2009,18.7,17.8,19.3,25,0,2001,,,,,,,,,,,,,
Pearl,South Fork Humboldt,2018,5.7,4.7,6.6,1272,651,2006,,,,,,,,,,,,,
Pike,Steens out of basin,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
Poison Flat,Carson,2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
Pole,Truckee,2016,3.1,2.2,4,852,474,2010,,,,,,,,,,,,,
Rock,Rock,2009,8.8,7.6,10.4,508,284,2009,Rock_RCD,118,1996,2009,2009,2316.678719,2235.142857,959.2125,4149.716071,592.6081059,543.7443451,87.28155142,1374.714808
Rock,Rock,2017,8.8,7.6,10.4,315,148,2012,Rock_RCD,118,1996,2012,2017,2222.987219,2147,934.8220588,3951.825,521.5598238,489.9276714,95.8689192,1123.933682
SFLH Tributaries,Little Humboldt,2010,7.5,5.5,9.5,10033,5153,2010,SFLH_Pole_Snowstorm,121,1988,2010,2010,10728.21687,10448.67391,5425.477174,17541.95652,3766.066885,3602.333571,903.3958833,7538.694996
Silver,Walker,2015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
Slinkard,Walker,2015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
T,Marys,2002,0.1,0.1,0.2,4029,1960,2002,T_Creek&Draw,133,1986,2002,2002,4492.075045,4439.941176,3378.116176,5914.705882,3831.572582,3880.280844,2209.103198,5142.977563
T,Marys,2017,0.1,0.1,0.2,3627,1130.975,2010,T_Creek&Draw,133,1986,2010,2017,4448.334498,4409.08,3369.64,5751.123,3764.736482,3849.494975,1859.037509,5071.833025
Tierney,Reese,2001,72.5,71.1,74.1,436,199,2001,Tierney,135,1991,2001,2001,624.6100111,472.4545455,296.1818182,2035.181818,53.54828604,34.12383048,5.653549084,215.2284044
Tierney,Reese,2012,72.5,71.1,74.1,0,0,2011,Tierney,135,1991,2011,2012,2573.208665,2151.142857,253.7130952,7254.525,17.42800435,0,0,112.1136562
Toe Jam,Rock,2017,5.1,3.5,6.1,1295,685,2017,ToeJam,136,1996,2012,2017,3368.783002,3258.911765,1640.939706,5770.183824,1415.958156,1384.729392,332.8475305,2669.68393
Unnamed,Marys,2016,0.3,0.1,0.4,8316,3185,2002,EMR&MRBC&CC&QC&Cutt&Short&WillBas,57,1987,2002,,9486.499797,9394.125,6316.373438,13230.00469,7200.578433,7282.79343,3395.026726,10458.61155
Upper Wolf,Walker,2015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
Washburn,Quinn,1997,14.8,12.8,15.9,843,157,1997,Washburn_up,140,1987,1997,1997,1544.556648,1436.636364,405.8181818,3357.095455,288.0009564,260.8182754,45.398583,686.073757
Washburn,Quinn,2016,14.8,12.8,15.9,319,130,2011,Washburn_up,140,1987,2011,2016,1747.349876,1703.78,702.599,3049.481,321.8939835,300.8399275,49.71730364,714.4527527
West Marys,Marys,2000,3,2.1,5.1,1545,831,2000,WMR&CmpDraw&Gaws,155,1987,2000,2000,1320.440436,1300.357143,744.7857143,2019.142857,754.3874804,778.8180571,180.432234,1180.982421
West Marys,Marys,2016,3,2.1,5.1,231,38,2004,WMR&CmpDraw&Gaws,155,1987,2004,2016,1448.425232,1421.833333,881,2165.001389,657.2542127,666.1426335,178.9646245,1085.662345
Whitehorse,Coyote Lake,2011,8.1,7.3,9.4,21251,10485,2011,Whitehorse_OR,143,2005,2011,2011,17058.76761,16107.35714,6499.714286,33109.58929,9142.574961,9001.43628,675.0201694,19221.77978
Wildcat,Marys,2000,42.7,40.8,44.6,1130,674,2000,Wildcat,146,1997,2000,2000,1645.60472,1528.75,805,3139.25,1231.533016,1214.507408,449.9252594,2121.593209
Wildcat,Marys,2017,42.7,40.8,44.6,37,0,2010,Wildcat,146,1997,2010,2017,2359.787413,1706.285714,582.7857143,5810.719643,267.6388011,127.609828,0,1134.353663
Willow-Nelson,Rock,2009,5.7,4.5,6.7,2235,1254,2009,Willow&Lewis&Nelson,147,1996,2009,2009,2904.380549,2534.571429,1223.857143,6469.432143,1150.771384,1129.039399,342.3857577,2091.955603
Willow-Nelson,Rock,2017,5.7,4.5,6.7,448,188,2015,Willow&Lewis&Nelson,147,1996,2015,2017,3228.894362,2882.1,1265.65,7056.50375,1037.612763,1015.358565,382.5931799,1813.743125
Willow,Coyote Lake,1996,2.3,1.9,2.7,1004,120,2004,Willow_OR_up,150,2004,2005,1996,3238.667988,2925,1379.5,6917,1797.495689,1611.026983,233.1650504,4483.588036
