comparison,overall_fst,n1,n2
str_MUR~str_TCR,0.208,14,23
str_MUR~str_TNY,0.2289,14,15
str_MUR~str_TOJ,0.231,14,17
str_MUR~str_TRB,0.1611,14,8
str_MUR~str_UNK,0.2462,14,1
str_MUR~str_UWF,0.171,14,9
str_MUR~str_WAC,0.2283,14,25
str_MUR~str_WHO,0.2319,14,8
str_MUR~str_WIC,0.2557,14,27
str_MUR~str_WIL,0.1807,14,8
str_MUR~str_WLN,0.1897,14,22
str_MUR~str_WMR,0.2144,14,7
str_NFB~str_NFC,0.2699,7,16
str_NFB~str_NFG,0.1643,7,7
str_NFB~str_OHR,0.4642,7,1
str_NFB~str_PEC,0.0811,7,15
str_NFB~str_PKC,0.3404,7,2
str_NFB~str_POI,0.0799,7,16
str_NFB~str_POL,0.1422,7,19
str_NFB~str_ROC,0.0984,7,22
str_NFB~str_SEC,0.1924,7,6
str_NFB~str_SHE,0.1274,7,3
str_NFB~str_SIL,0.2214,7,6
str_NFB~str_SLK,0.1943,7,20
str_NFB~str_SNO,0.123,7,8
str_NFB~str_TCR,0.0821,7,23
str_NFB~str_TNY,0.1606,7,15
str_NFB~str_TOJ,0.112,7,17
str_NFB~str_TRB,0.0868,7,8
str_NFB~str_UNK,0.4389,7,1
str_NFB~str_UWF,0.2549,7,9
str_NFB~str_WAC,-0.0075,7,25
str_NFB~str_WHO,0.2317,7,8
str_NFB~str_WIC,0.1304,7,27
str_NFB~str_WIL,0.0984,7,8
str_NFB~str_WLN,0.0826,7,22
str_NFB~str_WMR,0.142,7,7
str_NFC~str_NFG,0.3173,16,7
str_NFC~str_OHR,0.5794,16,1
str_NFC~str_PEC,0.1867,16,15
str_NFC~str_PKC,0.3618,16,2
str_NFC~str_POI,0.2007,16,16
str_NFC~str_POL,0.206,16,19
str_NFC~str_ROC,0.1585,16,22
str_NFC~str_SEC,0.3062,16,6
str_NFC~str_SHE,0.3167,16,3
str_NFC~str_SIL,0.3678,16,6
str_NFC~str_SLK,0.3226,16,20
str_NFC~str_SNO,0.2848,16,8
str_NFC~str_TCR,0.1188,16,23
str_NFC~str_TNY,0.207,16,15
str_NFC~str_TOJ,0.192,16,17
str_NFC~str_TRB,0.2413,16,8
str_NFC~str_UNK,0.5049,16,1
str_NFC~str_UWF,0.4484,16,9
str_NFC~str_WAC,0.2225,16,25
str_NFC~str_WHO,0.1981,16,8
str_NFC~str_WIC,0.2081,16,27
str_NFC~str_WIL,0.141,16,8
str_NFC~str_WLN,0.1583,16,22
str_NFC~str_WMR,0.2106,16,7
str_NFG~str_OHR,0.3858,7,1
str_NFG~str_PEC,0.1049,7,15
str_NFG~str_PKC,0.3057,7,2
str_NFG~str_POI,0.1313,7,16
str_NFG~str_POL,0.1682,7,19
str_NFG~str_ROC,0.1064,7,22
str_NFG~str_SEC,0.2158,7,6
str_NFG~str_SHE,0.1782,7,3
str_NFG~str_SIL,0.2651,7,6
str_NFG~str_SLK,0.2195,7,20
str_NFG~str_SNO,0.1737,7,8
str_NFG~str_TCR,0.1125,7,23
str_NFG~str_TNY,0.2264,7,15
str_NFG~str_TOJ,0.1405,7,17
str_NFG~str_TRB,0.1205,7,8
str_NFG~str_UNK,0.4595,7,1
str_NFG~str_UWF,0.3133,7,9
str_NFG~str_WAC,0.1542,7,25
str_NFG~str_WHO,0.203,7,8
str_NFG~str_WIC,0.1607,7,27
str_NFG~str_WIL,0.1202,7,8
str_NFG~str_WLN,0.1175,7,22
str_NFG~str_WMR,0.1909,7,7
str_OHR~str_PEC,0.2229,1,15
str_OHR~str_PKC,0.6,1,2
str_OHR~str_POI,0.0634,1,16
str_OHR~str_POL,0.168,1,19
str_OHR~str_ROC,0.373,1,22
str_OHR~str_SEC,0.289,1,6
str_OHR~str_SHE,0.0109,1,3
str_OHR~str_SIL,0.1894,1,6
str_OHR~str_SLK,0.22,1,20
str_OHR~str_SNO,0.3525,1,8
str_OHR~str_TCR,0.2219,1,23
str_OHR~str_TNY,0.3451,1,15
str_OHR~str_TOJ,0.2619,1,17
str_OHR~str_TRB,0.2692,1,8
str_OHR~str_UNK,0.5,1,1
str_OHR~str_UWF,0.2568,1,9
str_OHR~str_WAC,0.3674,1,25
str_OHR~str_WHO,0.372,1,8
str_OHR~str_WIC,0.1813,1,27
str_OHR~str_WIL,0.5303,1,8
str_OHR~str_WLN,0.2191,1,22
str_OHR~str_WMR,0.2974,1,7
str_PEC~str_PKC,0.1281,15,2
str_PEC~str_POI,0.1017,15,16
str_PEC~str_POL,0.1299,15,19
str_PEC~str_ROC,0.0893,15,22
str_PEC~str_SEC,0.1157,15,6
str_PEC~str_SHE,0.0795,15,3
str_PEC~str_SIL,0.1742,15,6
str_PEC~str_SLK,0.2096,15,20
str_PEC~str_SNO,0.0925,15,8
str_PEC~str_TCR,0.0403,15,23
str_PEC~str_TNY,0.1546,15,15
str_PEC~str_TOJ,0.0808,15,17
str_PEC~str_TRB,0.0783,15,8
str_PEC~str_UNK,0.1798,15,1
str_PEC~str_UWF,0.3232,15,9
str_PEC~str_WAC,0.1233,15,25
str_PEC~str_WHO,0.1461,15,8
str_PEC~str_WIC,0.1071,15,27
str_PEC~str_WIL,0.0722,15,8
str_PEC~str_WLN,0.0503,15,22
str_PEC~str_WMR,0.1073,15,7
str_PKC~str_POI,0.1298,2,16
str_PKC~str_POL,0.146,2,19
str_PKC~str_ROC,0.0623,2,22
str_PKC~str_SEC,0.2041,2,6
str_PKC~str_SHE,0.2408,2,3
str_PKC~str_SIL,0.2316,2,6
str_PKC~str_SLK,0.1903,2,20
str_PKC~str_SNO,0.2651,2,8
str_PKC~str_TCR,0.1024,2,23
str_PKC~str_TNY,0.1868,2,15
str_PKC~str_TOJ,0.1205,2,17
str_PKC~str_TRB,0.165,2,8
str_PKC~str_UNK,0.5317,2,1
str_PKC~str_UWF,0.1649,2,9
str_PKC~str_WAC,0.2326,2,25
str_PKC~str_WHO,6e-04,2,8
str_PKC~str_WIC,0.1956,2,27
str_PKC~str_WIL,-0.011,2,8
str_PKC~str_WLN,0.0984,2,22
str_PKC~str_WMR,0.1691,2,7
str_POI~str_POL,0.1414,16,19
str_POI~str_ROC,0.1331,16,22
str_POI~str_SEC,0.1521,16,6
str_POI~str_SHE,0.0853,16,3
str_POI~str_SIL,0.0911,16,6
str_POI~str_SLK,0.1282,16,20
str_POI~str_SNO,0.1403,16,8
str_POI~str_TCR,0.1123,16,23
str_POI~str_TNY,0.1429,16,15
str_POI~str_TOJ,0.1425,16,17
str_POI~str_TRB,0.1008,16,8
str_POI~str_UNK,0.068,16,1
str_POI~str_UWF,0.1981,16,9
str_POI~str_WAC,0.1244,16,25
str_POI~str_WHO,0.1513,16,8
str_POI~str_WIC,0.1855,16,27
str_POI~str_WIL,0.0869,16,8
str_POI~str_WLN,0.1103,16,22
str_POI~str_WMR,0.1032,16,7
str_POL~str_ROC,0.1444,19,22
str_POL~str_SEC,0.1579,19,6
str_POL~str_SHE,0.1288,19,3
str_POL~str_SIL,0.1542,19,6
str_POL~str_SLK,0.2269,19,20
str_POL~str_SNO,0.1684,19,8
str_POL~str_TCR,0.1357,19,23
str_POL~str_TNY,0.1527,19,15
str_POL~str_TOJ,0.1507,19,17
str_POL~str_TRB,0.1261,19,8
str_POL~str_UNK,0.1377,19,1
str_POL~str_UWF,0.2675,19,9
str_POL~str_WAC,0.1968,19,25
str_POL~str_WHO,0.16,19,8
str_POL~str_WIC,0.2031,19,27
str_POL~str_WIL,0.1014,19,8
str_POL~str_WLN,0.1325,19,22
str_POL~str_WMR,0.112,19,7
str_ROC~str_SEC,0.0802,22,6
str_ROC~str_SHE,0.087,22,3
str_ROC~str_SIL,0.1516,22,6
str_ROC~str_SLK,0.2384,22,20
str_ROC~str_SNO,0.066,22,8
str_ROC~str_TCR,0.0545,22,23
str_ROC~str_TNY,0.1072,22,15
str_ROC~str_TOJ,0.0112,22,17
str_ROC~str_TRB,0.0643,22,8
str_ROC~str_UNK,0.1672,22,1
str_ROC~str_UWF,0.3695,22,9
str_ROC~str_WAC,0.1587,22,25
str_ROC~str_WHO,0.0753,22,8
str_ROC~str_WIC,0.1202,22,27
str_ROC~str_WIL,0.0321,22,8
str_ROC~str_WLN,0.0401,22,22
str_ROC~str_WMR,0.0383,22,7
str_SEC~str_SHE,0.0024,6,3
str_SEC~str_SIL,0.1981,6,6
str_SEC~str_SLK,0.2234,6,20
str_SEC~str_SNO,0.0309,6,8
str_SEC~str_TCR,0.1105,6,23
str_SEC~str_TNY,0.2017,6,15
str_SEC~str_TOJ,0.1008,6,17
str_SEC~str_TRB,0.0076,6,8
str_SEC~str_UNK,0.2323,6,1
str_SEC~str_UWF,0.252,6,9
str_SEC~str_WAC,0.232,6,25
str_SEC~str_WHO,0.1939,6,8
str_SEC~str_WIC,0.2015,6,27
str_SEC~str_WIL,0.104,6,8
str_SEC~str_WLN,0.1433,6,22
str_SEC~str_WMR,0.089,6,7
str_SHE~str_SIL,0.1267,3,6
str_SHE~str_SLK,0.1499,3,20
str_SHE~str_SNO,0.0348,3,8
str_SHE~str_TCR,0.0828,3,23
str_SHE~str_TNY,0.1814,3,15
str_SHE~str_TOJ,0.1146,3,17
str_SHE~str_TRB,-0.0132,3,8
str_SHE~str_UNK,0.2086,3,1
str_SHE~str_UWF,0.1293,3,9
str_SHE~str_WAC,0.1597,3,25
str_SHE~str_WHO,0.2192,3,8
str_SHE~str_WIC,0.1432,3,27
str_SHE~str_WIL,0.0807,3,8
str_SHE~str_WLN,0.1052,3,22
str_SHE~str_WMR,0.1004,3,7
str_SIL~str_SLK,0.0393,6,20
str_SIL~str_SNO,0.2542,6,8
str_SIL~str_TCR,0.1731,6,23
str_SIL~str_TNY,0.2645,6,15
str_SIL~str_TOJ,0.1739,6,17
str_SIL~str_TRB,0.1656,6,8
str_SIL~str_UNK,0.2537,6,1
str_SIL~str_UWF,0.0578,6,9
str_SIL~str_WAC,0.2242,6,25
str_SIL~str_WHO,0.22,6,8
str_SIL~str_WIC,0.2212,6,27
str_SIL~str_WIL,0.1791,6,8
str_SIL~str_WLN,0.1525,6,22
str_SIL~str_WMR,0.1775,6,7
str_SLK~str_SNO,0.2394,20,8
str_SLK~str_TCR,0.2256,20,23
str_SLK~str_TNY,0.2615,20,15
str_SLK~str_TOJ,0.2383,20,17
str_SLK~str_TRB,0.1911,20,8
str_SLK~str_UNK,0.2457,20,1
str_SLK~str_UWF,0.0943,20,9
str_SLK~str_WAC,0.2514,20,25
str_SLK~str_WHO,0.2037,20,8
str_SLK~str_WIC,0.2649,20,27
str_SLK~str_WIL,0.1927,20,8
str_SLK~str_WLN,0.2068,20,22
str_SLK~str_WMR,0.2094,20,7
str_SNO~str_TCR,0.0842,8,23
str_SNO~str_TNY,0.1755,8,15
str_SNO~str_TOJ,0.0893,8,17
str_SNO~str_TRB,-0.0011,8,8
str_SNO~str_UNK,0.3462,8,1
str_SNO~str_UWF,0.2941,8,9
str_SNO~str_WAC,0.163,8,25
str_SNO~str_WHO,0.2048,8,8
str_SNO~str_WIC,0.1442,8,27
str_SNO~str_WIL,0.0841,8,8
str_SNO~str_WLN,0.1143,8,22
str_SNO~str_WMR,0.1023,8,7
str_TCR~str_TNY,0.1193,23,15
str_TCR~str_TOJ,0.0452,23,17
str_TCR~str_TRB,0.0648,23,8
str_TCR~str_UNK,0.2256,23,1
str_TCR~str_UWF,0.3553,23,9
str_TCR~str_WAC,0.1408,23,25
str_TCR~str_WHO,0.1138,23,8
str_TCR~str_WIC,0.0985,23,27
str_TCR~str_WIL,0.049,23,8
str_TCR~str_WLN,0.0417,23,22
str_TCR~str_WMR,0.0478,23,7
str_TNY~str_TOJ,0.1406,15,17
str_TNY~str_TRB,0.1499,15,8
str_TNY~str_UNK,0.1839,15,1
str_TNY~str_UWF,0.3303,15,9
str_TNY~str_WAC,0.1604,15,25
str_TNY~str_WHO,0.1329,15,8
str_TNY~str_WIC,0.194,15,27
str_TNY~str_WIL,0.0551,15,8
str_TNY~str_WLN,0.1124,15,22
str_TNY~str_WMR,0.1439,15,7
str_TOJ~str_TRB,0.0797,17,8
str_TOJ~str_UNK,0.2631,17,1
str_TOJ~str_UWF,0.3586,17,9
str_TOJ~str_WAC,0.1667,17,25
str_TOJ~str_WHO,0.1194,17,8
str_TOJ~str_WIC,0.0969,17,27
str_TOJ~str_WIL,0.0821,17,8
str_TOJ~str_WLN,0.0268,17,22
str_TOJ~str_WMR,0.065,17,7
str_TRB~str_UNK,0.1759,8,1
str_TRB~str_UWF,0.2494,8,9
str_TRB~str_WAC,0.1433,8,25
str_TRB~str_WHO,0.1665,8,8
str_TRB~str_WIC,0.1498,8,27
str_TRB~str_WIL,0.0646,8,8
str_TRB~str_WLN,0.092,8,22
str_TRB~str_WMR,0.046,8,7
str_UNK~str_UWF,0.0657,1,9
str_UNK~str_WAC,0.2702,1,25
str_UNK~str_WHO,0.3378,1,8
str_UNK~str_WIC,0.2821,1,27
str_UNK~str_WIL,0.2869,1,8
str_UNK~str_WLN,0.2016,1,22
str_UNK~str_WMR,0.2013,1,7
str_UWF~str_WAC,0.3733,9,25
str_UWF~str_WHO,0.2592,9,8
str_UWF~str_WIC,0.3741,9,27
str_UWF~str_WIL,0.2262,9,8
str_UWF~str_WLN,0.3479,9,22
str_UWF~str_WMR,0.2651,9,7
str_WAC~str_WHO,0.2147,25,8
str_WAC~str_WIC,0.1743,25,27
str_WAC~str_WIL,0.1037,25,8
str_WAC~str_WLN,0.1266,25,22
str_WAC~str_WMR,0.1738,25,7
str_WHO~str_WIC,0.196,8,27
str_WHO~str_WIL,-0.0068,8,8
str_WHO~str_WLN,0.0948,8,22
str_WHO~str_WMR,0.1487,8,7
str_WIC~str_WIL,0.1339,27,8
str_WIC~str_WLN,0.1024,27,22
str_WIC~str_WMR,0.1616,27,7
str_WIL~str_WLN,0.0612,8,22
str_WIL~str_WMR,0.0751,8,7
str_WLN~str_WMR,0.0846,22,7
0~1996,0.2869,1,8
0~1997,0.133,1,28
0~1998,0.5333,1,1
0~2000,0.2285,1,79
0~2001,0.1463,1,12
0~2002,0.2534,1,9
0~2009,0.1806,1,88
0~2010,0.238,1,25
0~2011,0.111,1,39
0~2012,0.1918,1,42
0~2013,0.087,1,20
0~2014,0.4381,1,3
0~2015,0.0288,1,111
0~2016,0.0369,1,170
0~2017,0.002,1,244
0~2018,0.1798,1,15
1996~1997,0.0337,8,28
1996~1998,0.4835,8,1
1996~2000,-0.0167,8,79
1996~2001,0.0515,8,12
1996~2002,0.0516,8,9
1996~2009,0.0013,8,88
1996~2010,0.0725,8,25
1996~2011,0.0242,8,39
1996~2012,0.0052,8,42
1996~2013,-0.0104,8,20
1996~2014,0.2721,8,3
1996~2015,0.0292,8,111
1996~2016,-0.0147,8,170
1996~2017,-0.0132,8,244
1996~2018,0.0722,8,15
1997~1998,0.4809,28,1
1997~2000,0.0894,28,79
1997~2001,0.0906,28,12
1997~2002,0.0452,28,9
1997~2009,0.0673,28,88
1997~2010,0.102,28,25
1997~2011,0.0787,28,39
1997~2012,0.0647,28,42
1997~2013,0.0473,28,20
1997~2014,0.1238,28,3
1997~2015,0.0752,28,111
1997~2016,0.0287,28,170
1997~2017,0.0261,28,244
1997~2018,0.0611,28,15
1998~2000,0.6225,1,79
1998~2001,0.5268,1,12
1998~2002,0.5153,1,9
1998~2009,0.5463,1,88
1998~2010,0.5371,1,25
1998~2011,0.3618,1,39
1998~2012,0.4618,1,42
1998~2013,0.3979,1,20
1998~2014,0.3685,1,3
1998~2015,0.2284,1,111
1998~2016,0.3957,1,170
1998~2017,0.3175,1,244
1998~2018,0.5519,1,15
2000~2001,0.0899,79,12
2000~2002,0.041,79,9
2000~2009,0.0173,79,88
2000~2010,0.1141,79,25
2000~2011,0.0794,79,39
2000~2012,0.0518,79,42
2000~2013,0.0437,79,20
2000~2014,0.1812,79,3
2000~2015,0.0991,79,111
2000~2016,0.0325,79,170
2000~2017,0.0271,79,244
2000~2018,0.0887,79,15
2001~2002,0.1389,12,9
2001~2009,0.083,12,88
2001~2010,0.1635,12,25
2001~2011,0.0959,12,39
2001~2012,0.0858,12,42
2001~2013,0.0635,12,20
2001~2014,0.2927,12,3
2001~2015,0.0856,12,111
2001~2016,0.0509,12,170
2001~2017,0.045,12,244
2001~2018,0.1523,12,15
2002~2009,0.0163,9,88
2002~2010,0.0774,9,25
2002~2011,0.0573,9,39
2002~2012,0.0494,9,42
2002~2013,0.0534,9,20
2002~2014,0.0981,9,3
2002~2015,0.0493,9,111
2002~2016,0.0204,9,170
2002~2017,-0.0016,9,244
2002~2018,0.0276,9,15
2009~2010,0.0735,88,25
2009~2011,0.0549,88,39
2009~2012,0.0412,88,42
2009~2013,0.0431,88,20
2009~2014,0.1626,88,3
2009~2015,0.0793,88,111
2009~2016,0.0233,88,170
2009~2017,0.0162,88,244
2009~2018,0.0622,88,15
2010~2011,0.0632,25,39
2010~2012,0.0901,25,42
2010~2013,0.0843,25,20
2010~2014,0.2007,25,3
2010~2015,0.0836,25,111
2010~2016,0.0492,25,170
2010~2017,0.0404,25,244
2010~2018,0.0956,25,15
2011~2012,0.0389,39,42
2011~2013,0.0426,39,20
2011~2014,0.0806,39,3
2011~2015,0.0222,39,111
2011~2016,0.037,39,170
2011~2017,0.0202,39,244
2011~2018,0.0947,39,15
2012~2013,0.0433,42,20
2012~2014,0.2105,42,3
2012~2015,0.0574,42,111
2012~2016,0.0234,42,170
2012~2017,0.0171,42,244
2012~2018,0.0854,42,15
2013~2014,0.1424,20,3
2013~2015,0.0549,20,111
2013~2016,0.0251,20,170
2013~2017,0.017,20,244
2013~2018,0.0806,20,15
2014~2015,0.0459,3,111
2014~2016,0.0842,3,170
2014~2017,0.0305,3,244
2014~2018,0.1127,3,15
2015~2016,0.0635,111,170
2015~2017,0.0394,111,244
2015~2018,0.0775,111,15
2016~2017,0.0094,170,244
2016~2018,0.0361,170,15
2017~2018,0.0214,244,15
CAR.2017~EFH.2012,0.203,48,16
CAR.2017~LHU.2000,0.2125,48,4
CAR.2017~LHU.2013,0.2662,48,2
CAR.2017~LHU.2016,0.1677,48,17
CAR.2017~LTR.2016,0.1523,48,10
CAR.2017~MAG.2009,0.1433,48,32
CAR.2017~MAG.2015,0.1379,48,33
CAR.2017~MAR.2000,0.185,48,18
CAR.2017~MAR.2002,0.1564,48,9
CAR.2017~MAR.2012,0.0989,48,18
CAR.2017~MAR.2016,0.1301,48,19
CAR.2017~MAR.2017,0.1545,48,45
CAR.2017~MCD.1998,0.4098,48,1
CAR.2017~MCD.2000,0.1424,48,8
CAR.2017~MCD.2017,0.1558,48,15
CAR.2017~NFH.1997,0.151,48,7
CAR.2017~NFH.2000,0.1507,48,6
CAR.2017~NFH.2017,0.1467,48,33
CAR.2017~OOB.2011,0.2263,48,1
CAR.2017~PPT.2016,0.2188,48,12
CAR.2017~QUI.1997,0.1528,48,17
CAR.2017~QUI.2011,0.1777,48,12
CAR.2017~QUI.2013,0.1369,48,8
CAR.2017~QUI.2016,0.1361,48,38
CAR.2017~QUI.2017,0.2091,48,24
CAR.2017~REE.2000,0.2102,48,20
CAR.2017~REE.2001,0.1596,48,12
CAR.2017~REE.2009,0.1937,48,21
CAR.2017~REE.2012,0.1252,48,3
CAR.2017~REE.2016,0.1736,48,10
CAR.2017~ROC.1997,0.1353,48,5
CAR.2017~ROC.2000,0.2801,48,6
CAR.2017~ROC.2009,0.1464,48,28
CAR.2017~ROC.2017,0.176,48,47
CAR.2017~SFH.2009,0.1615,48,7
CAR.2017~SFH.2011,0.1884,48,6
CAR.2017~SFH.2012,0.0865,48,5
CAR.2017~SFH.2014,0.209,48,3
CAR.2017~SFH.2016,0.0363,48,30
CAR.2017~SFH.2018,0.1518,48,15
CAR.2017~SFL.2010,0.1569,48,25
CAR.2017~STE.2000,0.2352,48,20
CAR.2017~SUM.2013,0.1264,48,10
CAR.2017~TRU.2016,0.1883,48,19
CAR.2017~UNK.0,0.1619,48,1
CAR.2017~UPT.2017,0.1428,48,17
CAR.2017~WAL.2011,0.0877,48,12
CAR.2017~WAL.2015,0.068,48,79
CAR.2017~WAL.2017,0.114,48,17
CAR.2017~WWH.1996,0.1227,48,8
CAR.2017~WWH.2011,0.175,48,8
CAR.2017~YUB.2016,0.1996,48,17
EFH.2012~LHU.2000,0.4014,16,4
EFH.2012~LHU.2013,0.5636,16,2
EFH.2012~LHU.2016,0.1814,16,17
EFH.2012~LTR.2016,0.2351,16,10
EFH.2012~MAG.2009,0.1173,16,32
EFH.2012~MAG.2015,0.0876,16,33
EFH.2012~MAR.2000,0.1888,16,18
EFH.2012~MAR.2002,0.1812,16,9
EFH.2012~MAR.2012,0.191,16,18
EFH.2012~MAR.2016,0.1134,16,19
EFH.2012~MAR.2017,0.1058,16,45
EFH.2012~MCD.1998,0.6928,16,1
EFH.2012~MCD.2000,0.3216,16,8
EFH.2012~MCD.2017,0.1728,16,15
EFH.2012~NFH.1997,0.2043,16,7
EFH.2012~NFH.2000,0.3762,16,6
EFH.2012~NFH.2017,0.1383,16,33
EFH.2012~OOB.2011,0.5794,16,1
EFH.2012~PPT.2016,0.3311,16,12
EFH.2012~QUI.1997,0.2286,16,17
EFH.2012~QUI.2011,0.2198,16,12
EFH.2012~QUI.2013,0.2106,16,8
EFH.2012~QUI.2016,0.1693,16,38
EFH.2012~QUI.2017,0.1431,16,24
EFH.2012~REE.2000,0.2831,16,20
EFH.2012~REE.2001,0.2106,16,12
EFH.2012~REE.2009,0.26,16,21
EFH.2012~REE.2012,0.2753,16,3
EFH.2012~REE.2016,0.2081,16,10
EFH.2012~ROC.1997,0.355,16,5
EFH.2012~ROC.2000,0.4315,16,6
EFH.2012~ROC.2009,0.147,16,28
EFH.2012~ROC.2017,0.1539,16,47
EFH.2012~SFH.2009,0.3173,16,7
EFH.2012~SFH.2011,0.5036,16,6
EFH.2012~SFH.2012,0.2362,16,5
EFH.2012~SFH.2014,0.5011,16,3
EFH.2012~SFH.2016,0.1682,16,30
EFH.2012~SFH.2018,0.1867,16,15
EFH.2012~SFL.2010,0.2126,16,25
EFH.2012~STE.2000,0.3097,16,20
EFH.2012~SUM.2013,0.1835,16,10
EFH.2012~TRU.2016,0.206,16,19
EFH.2012~UNK.0,0.5049,16,1
EFH.2012~UPT.2017,0.1648,16,17
EFH.2012~WAL.2011,0.4063,16,12
EFH.2012~WAL.2015,0.169,16,79
EFH.2012~WAL.2017,0.4036,16,17
EFH.2012~WWH.1996,0.141,16,8
EFH.2012~WWH.2011,0.1981,16,8
EFH.2012~YUB.2016,0.222,16,17
LHU.2000~LHU.2013,0.1427,4,2
LHU.2000~LHU.2016,0.0745,4,17
LHU.2000~LTR.2016,0.2174,4,10
LHU.2000~MAG.2009,0.1057,4,32
LHU.2000~MAG.2015,0.0555,4,33
LHU.2000~MAR.2000,0.177,4,18
LHU.2000~MAR.2002,0.1199,4,9
LHU.2000~MAR.2012,0.1617,4,18
LHU.2000~MAR.2016,0.0932,4,19
LHU.2000~MAR.2017,0.1166,4,45
LHU.2000~MCD.1998,0.4576,4,1
LHU.2000~MCD.2000,0.3511,4,8
LHU.2000~MCD.2017,0.0981,4,15
LHU.2000~NFH.1997,0.0436,4,7
LHU.2000~NFH.2000,0.0807,4,6
LHU.2000~NFH.2017,0.0717,4,33
LHU.2000~OOB.2011,0.4395,4,1
LHU.2000~PPT.2016,0.2112,4,12
LHU.2000~QUI.1997,0.245,4,17
LHU.2000~QUI.2011,0.1834,4,12
LHU.2000~QUI.2013,0.2779,4,8
LHU.2000~QUI.2016,0.2095,4,38
LHU.2000~QUI.2017,-0.0212,4,24
LHU.2000~REE.2000,0.4998,4,20
LHU.2000~REE.2001,0.2243,4,12
LHU.2000~REE.2009,0.5418,4,21
LHU.2000~REE.2012,0.2646,4,3
LHU.2000~REE.2016,0.4236,4,10
LHU.2000~ROC.1997,0.1883,4,5
LHU.2000~ROC.2000,0.2653,4,6
LHU.2000~ROC.2009,0.1286,4,28
LHU.2000~ROC.2017,0.1842,4,47
LHU.2000~SFH.2009,0.4073,4,7
LHU.2000~SFH.2011,0.1658,4,6
LHU.2000~SFH.2012,0.1125,4,5
LHU.2000~SFH.2014,0.1293,4,3
LHU.2000~SFH.2016,0.0486,4,30
LHU.2000~SFH.2018,0.161,4,15
LHU.2000~SFL.2010,0.1739,4,25
LHU.2000~STE.2000,0.36,4,20
LHU.2000~SUM.2013,0.1436,4,10
LHU.2000~TRU.2016,0.1684,4,19
LHU.2000~UNK.0,0.3709,4,1
LHU.2000~UPT.2017,0.1847,4,17
LHU.2000~WAL.2011,0.1524,4,12
LHU.2000~WAL.2015,-0.0061,4,79
LHU.2000~WAL.2017,0.4232,4,17
LHU.2000~WWH.1996,0.181,4,8
LHU.2000~WWH.2011,0.2252,4,8
LHU.2000~YUB.2016,0.1707,4,17
LHU.2013~LHU.2016,0.1849,2,17
LHU.2013~LTR.2016,0.2592,2,10
LHU.2013~MAG.2009,0.2345,2,32
LHU.2013~MAG.2015,0.1795,2,33
LHU.2013~MAR.2000,0.2962,2,18
LHU.2013~MAR.2002,0.29,2,9
LHU.2013~MAR.2012,0.2682,2,18
LHU.2013~MAR.2016,0.1629,2,19
LHU.2013~MAR.2017,0.2301,2,45
LHU.2013~MCD.1998,0.5242,2,1
LHU.2013~MCD.2000,0.4056,2,8
LHU.2013~MCD.2017,0.1497,2,15
LHU.2013~NFH.1997,0.0898,2,7
LHU.2013~NFH.2000,0.1419,2,6
LHU.2013~NFH.2017,0.1236,2,33
LHU.2013~OOB.2011,0.5816,2,1
LHU.2013~PPT.2016,0.3224,2,12
LHU.2013~QUI.1997,0.3162,2,17
LHU.2013~QUI.2011,0.2845,2,12
LHU.2013~QUI.2013,0.3626,2,8
LHU.2013~QUI.2016,0.2869,2,38
LHU.2013~QUI.2017,0.0499,2,24
LHU.2013~REE.2000,0.7026,2,20
LHU.2013~REE.2001,0.3103,2,12
LHU.2013~REE.2009,0.6547,2,21
LHU.2013~REE.2012,0.3827,2,3
LHU.2013~REE.2016,0.5256,2,10
LHU.2013~ROC.1997,0.2514,2,5
LHU.2013~ROC.2000,0.3175,2,6
LHU.2013~ROC.2009,0.2659,2,28
LHU.2013~ROC.2017,0.3025,2,47
LHU.2013~SFH.2009,0.5643,2,7
LHU.2013~SFH.2011,0.2983,2,6
LHU.2013~SFH.2012,0.1867,2,5
LHU.2013~SFH.2014,0.2156,2,3
LHU.2013~SFH.2016,0.1113,2,30
LHU.2013~SFH.2018,0.26,2,15
LHU.2013~SFL.2010,0.3054,2,25
LHU.2013~STE.2000,0.465,2,20
LHU.2013~SUM.2013,0.248,2,10
LHU.2013~TRU.2016,0.2433,2,19
LHU.2013~UNK.0,0.4615,2,1
LHU.2013~UPT.2017,0.2311,2,17
LHU.2013~WAL.2011,0.2271,2,12
LHU.2013~WAL.2015,0.071,2,79
LHU.2013~WAL.2017,0.5832,2,17
LHU.2013~WWH.1996,0.3343,2,8
LHU.2013~WWH.2011,0.3246,2,8
LHU.2013~YUB.2016,0.239,2,17
LHU.2016~LTR.2016,0.1398,17,10
LHU.2016~MAG.2009,0.0739,17,32
LHU.2016~MAG.2015,0.0769,17,33
LHU.2016~MAR.2000,0.1284,17,18
LHU.2016~MAR.2002,0.0898,17,9
LHU.2016~MAR.2012,0.1162,17,18
LHU.2016~MAR.2016,0.0769,17,19
LHU.2016~MAR.2017,0.0971,17,45
LHU.2016~MCD.1998,0.4363,17,1
LHU.2016~MCD.2000,0.1735,17,8
LHU.2016~MCD.2017,0.1104,17,15
LHU.2016~NFH.1997,0.0891,17,7
LHU.2016~NFH.2000,0.0957,17,6
LHU.2016~NFH.2017,0.0778,17,33
LHU.2016~OOB.2011,0.1919,17,1
