comparison,overall_fst,n1,n2
SFL~UPT,0.1318,25,17
SFL~WAL,0.1681,25,108
SFL~WWH,0.1404,25,16
SFL~YUB,0.197,25,17
STE~SUM,0.1317,20,10
STE~TRU,0.2666,20,19
STE~UNK,0.4344,20,1
STE~UPT,0.2138,20,17
STE~WAL,0.2055,20,108
STE~WWH,0.0048,20,16
STE~YUB,0.2634,20,17
SUM~TRU,0.1487,10,19
SUM~UNK,0.0688,10,1
SUM~UPT,0.1165,10,17
SUM~WAL,0.144,10,108
SUM~WWH,0.0642,10,16
SUM~YUB,0.1612,10,17
TRU~UNK,0.1377,19,1
TRU~UPT,0.0356,19,17
TRU~WAL,0.2019,19,108
TRU~WWH,0.1641,19,16
TRU~YUB,0.0137,19,17
UNK~UPT,0.064,1,17
UNK~WAL,0.1942,1,108
UNK~WWH,0.297,1,16
UNK~YUB,0.1721,1,17
UPT~WAL,0.1652,17,108
UPT~WWH,0.1182,17,16
UPT~YUB,0.0179,17,17
WAL~WWH,0.1513,108,16
WAL~YUB,0.1983,108,17
WWH~YUB,0.1603,16,17
str_2BO~str_4BO,0.0983,10,10
str_2BO~str_ABE,0.173,10,15
str_2BO~str_AND,0.1118,10,7
str_2BO~str_BAT,0.2021,10,8
str_2BO~str_BEA,0.1501,10,21
str_2BO~str_BGA,0.2131,10,3
str_2BO~str_BYD,0.0629,10,16
str_2BO~str_CCC,0.2298,10,10
str_2BO~str_CMC,0.2096,10,14
str_2BO~str_COY,0.1423,10,25
str_2BO~str_CRA,0.3135,10,21
str_2BO~str_CWC,0.2561,10,9
str_2BO~str_DIX,0.1728,10,9
str_2BO~str_EFC,0.1042,10,8
str_2BO~str_FCC,0.2136,10,9
str_2BO~str_FOR,0.1135,10,22
str_2BO~str_FRZ,0.232,10,24
str_2BO~str_GAN,0.1829,10,23
str_2BO~str_GOC,0.1013,10,10
str_2BO~str_HAN,0.1044,10,18
str_2BO~str_INC,0.4544,10,1
str_2BO~str_INK,0.2474,10,7
str_2BO~str_IPL,0.2087,10,10
str_2BO~str_JCC,0.2125,10,15
str_2BO~str_LEE,0.1713,10,11
str_2BO~str_LIN,0.194,10,13
str_2BO~str_LJK,0.0877,10,21
str_2BO~str_LNF,0.2061,10,12
str_2BO~str_LNG,0.118,10,5
str_2BO~str_LON,0.1729,10,15
str_2BO~str_LTA,0.1399,10,3
str_2BO~str_LWF,0.1398,10,9
str_2BO~str_MAC,0.2109,10,17
str_2BO~str_MAE,0.1297,10,5
str_2BO~str_MAR,0.1712,10,20
str_2BO~str_MAU,0.1687,10,4
str_2BO~str_MEI,0.1623,10,17
str_2BO~str_MHK,0.3325,10,24
str_2BO~str_MIL,0.1399,10,37
str_2BO~str_MOH,0.1311,10,10
str_2BO~str_MPH,0.0924,10,12
str_2BO~str_MRB,0.1226,10,5
str_2BO~str_MRV,0.1985,10,5
str_2BO~str_MSQ,0.2114,10,3
str_2BO~str_MUR,0.0907,10,14
str_2BO~str_NFB,0.2072,10,7
str_2BO~str_NFC,0.3023,10,16
str_2BO~str_NFG,0.2064,10,7
str_2BO~str_OHR,0.2067,10,1
str_2BO~str_PEC,0.1895,10,15
str_2BO~str_PKC,0.1688,10,2
str_2BO~str_POI,0.1235,10,16
str_2BO~str_POL,0.1809,10,19
str_2BO~str_ROC,0.158,10,22
str_2BO~str_SEC,0.2057,10,6
str_2BO~str_SHE,0.114,10,3
str_2BO~str_SIL,0.1032,10,6
str_2BO~str_SLK,0.079,10,20
str_2BO~str_SNO,0.1886,10,8
str_2BO~str_TCR,0.168,10,23
str_2BO~str_TNY,0.2066,10,15
str_2BO~str_TOJ,0.1769,10,17
str_2BO~str_TRB,0.1437,10,8
str_2BO~str_UNK,0.1842,10,1
str_2BO~str_UWF,0.1522,10,9
str_2BO~str_WAC,0.2628,10,25
str_2BO~str_WHO,0.1754,10,8
str_2BO~str_WIC,0.1922,10,27
str_2BO~str_WIL,0.141,10,8
