"","pop","ho","pi","n"
"str_MIL","str_MIL",0.0246360083856253,0.0174967300952563,37
"str_MIL.2015","str_MIL.2015",0.0330767652157479,0.0256904399709428,20
"str_MIL.2017","str_MIL.2017",0.0206618023960205,0.0137161505268376,17
"str_MOH","str_MOH",0.0254635006667527,0.0252988688722032,10
"str_MOH.2013","str_MOH.2013",0.0254635006667527,0.0252988688722032,10
"str_MPH","str_MPH",0.0296576115377205,0.0224079961818381,12
"str_MPH.2011","str_MPH.2011",0.0296576115377205,0.0224079961818381,12
"str_MRB","str_MRB",0.0258355916892502,0.0248032004129565,5
"str_MRB.2016","str_MRB.2016",0.0258355916892502,0.0248032004129565,5
"str_MRV","str_MRV",0.00912375790424571,0.00838602830472749,5
"str_MRV.2016","str_MRV.2016",0.00912375790424571,0.00838602830472749,5
"str_MSQ","str_MSQ",0.00951086956521739,0.00951086956521739,3
"str_MSQ.2000","str_MSQ.2000",0.00951086956521739,0.00951086956521739,3
"str_MUR","str_MUR",0.0294062306257428,0.0223515606262703,14
"str_MUR.2017","str_MUR.2017",0.0294062306257428,0.0223515606262703,14
"str_NFB","str_NFB",0.0109239901922829,0.0100563694059629,7
"str_NFB.2016","str_NFB.2016",0.0109239901922829,0.0100563694059629,7
"str_NFC","str_NFC",0.00854071590860209,0.00774383990140026,16
"str_NFC.2012","str_NFC.2012",0.00854071590860209,0.00774383990140026,16
"str_NFG","str_NFG",0.00965931087882307,0.00890899224232558,7
"str_NFG.2009","str_NFG.2009",0.00965931087882307,0.00890899224232558,7
"str_OHR","str_OHR",0.0413793103448276,0.0413793103448276,1
"str_OHR.2011","str_OHR.2011",0.0413793103448276,0.0413793103448276,1
"str_PEC","str_PEC",0.0213651524627134,0.0195390085650229,15
"str_PEC.2018","str_PEC.2018",0.0213651524627134,0.0195390085650229,15
"str_PKC","str_PKC",0.00749318801089918,0.00703905540417802,2
"str_PKC.2000","str_PKC.2000",0.00749318801089918,0.00703905540417802,2
"str_POI","str_POI",0.0272699748309504,0.0253764312770939,16
"str_POI.2017","str_POI.2017",0.0272699748309504,0.0253764312770939,16
"str_POL","str_POL",0.0293093395436772,0.0264611477052385,19
"str_POL.2016","str_POL.2016",0.0293093395436772,0.0264611477052385,19
"str_ROC","str_ROC",0.0199722794389159,0.0196099087937286,22
"str_ROC.2009","str_ROC.2009",0.0204524360012165,0.0199654388460443,14
"str_ROC.2017","str_ROC.2017",0.0195928506904117,0.0190770837112301,8
"str_SEC","str_SEC",0.0163279132791328,0.0164817943273228,6
"str_SEC.2010","str_SEC.2010",0.0163279132791328,0.0164817943273228,6
"str_SHE","str_SHE",0.025588768115942,0.0225996376811594,3
"str_SHE.2010","str_SHE.2010",0.025588768115942,0.0225996376811594,3
"str_SIL","str_SIL",0.0328780981284775,0.0308114748175446,6
"str_SIL.2015","str_SIL.2015",0.0328780981284775,0.0308114748175446,6
"str_SLK","str_SLK",0.036561623615269,0.0285950486568832,20
"str_SLK.2015","str_SLK.2015",0.036561623615269,0.0285950486568832,20
"str_SNO","str_SNO",0.0123290101948639,0.0115343667172935,8
"str_SNO.2010","str_SNO.2010",0.0123290101948639,0.0115343667172935,8
"str_TCR","str_TCR",0.0200577699359801,0.0187581409840523,23
"str_TCR.2002","str_TCR.2002",0.0199418204499505,0.0182461371545542,9
"str_TCR.2017","str_TCR.2017",0.0202072468332631,0.0191235882315428,14
"str_TNY","str_TNY",0.0134464714749268,0.0129567025360072,15
"str_TNY.2001","str_TNY.2001",0.0138759839979352,0.0136062615139612,12
"str_TNY.2012","str_TNY.2012",0.00952380952380952,0.00879818594104308,3
"str_TOJ","str_TOJ",0.0184547969698615,0.0168909034782416,17
"str_TOJ.2017","str_TOJ.2017",0.0184547969698615,0.0168909034782416,17
"str_TRB","str_TRB",0.0199751580849142,0.0183762375835547,8
"str_TRB.2010","str_TRB.2010",0.0199751580849142,0.0183762375835547,8
"str_UNK","str_UNK",0.0180831826401447,0.0180831826401447,1
"str_UNK.0","str_UNK.0",0.0180831826401447,0.0180831826401447,1
"str_UWF","str_UWF",0.102395786975226,0.0898755450157319,9
"str_UWF.2015","str_UWF.2015",0.102395786975226,0.0898755450157319,9
"str_WAC","str_WAC",0.0168959050026584,0.0151316035710531,25
"str_WAC.1997","str_WAC.1997",0.0173594690243423,0.0159304614643653,17
"str_WAC.2016","str_WAC.2016",0.0160811072396438,0.0138093726508361,8
"str_WHO","str_WHO",0.0126692581794623,0.0121641850213279,8
"str_WHO.2011","str_WHO.2011",0.0126692581794623,0.0121641850213279,8
"str_WIC","str_WIC",0.0208895418398424,0.0185434231379873,27
"str_WIC.2000","str_WIC.2000",0.019294861266406,0.0175736277530774,16
"str_WIC.2017","str_WIC.2017",0.0230619200131395,0.0194080573494855,11
"str_WIL","str_WIL",0.0139154160982265,0.013903407491402,8
"str_WIL.1996","str_WIL.1996",0.0139154160982265,0.013903407491402,8
"str_WLN","str_WLN",0.019871647806217,0.0181709839393467,22
"str_WLN.2009","str_WLN.2009",0.0214051982344665,0.0190311906966481,14
"str_WLN.2017","str_WLN.2017",0.017008646276939,0.0162705105794537,8
"str_WMR","str_WMR",0.01545683313976,0.0153424488790342,7
"str_WMR.2000","str_WMR.2000",0.0156037991858887,0.0156037991858887,2
"str_WMR.2016","str_WMR.2016",0.0152664859981933,0.014492192540973,5
"SUM","SUM",0.0254635006667527,0.0252988688722032,10
"SUM.2013","SUM.2013",0.0254635006667527,0.0252988688722032,10
"TRU","TRU",0.0293093395436772,0.0264611477052385,19
"TRU.2016","TRU.2016",0.0293093395436772,0.0264611477052385,19
"UNK","UNK",0.0180831826401447,0.0180831826401447,1
"UNK.0","UNK.0",0.0180831826401447,0.0180831826401447,1
"UPT","UPT",0.0209312128967796,0.0213208844866054,17
"UPT.2017","UPT.2017",0.0209312128967796,0.0213208844866054,17
"WAL","WAL",0.0390408417458008,0.0312497867716993,108
"WAL.2011","WAL.2011",0.0296576115377205,0.0224079961818381,12
"WAL.2015","WAL.2015",0.0530341894964707,0.0447013934254225,79
"WAL.2017","WAL.2017",0.0206618023960205,0.0137161505268376,17
"WWH","WWH",0.0132254933275341,0.0126828799248733,16
"WWH.1996","WWH.1996",0.0139154160982265,0.013903407491402,8
"WWH.2011","WWH.2011",0.0126692581794623,0.0121641850213279,8
"YUB","YUB",0.0254174269059491,0.0214086223191184,17
"YUB.2016","YUB.2016",0.0254174269059491,0.0214086223191184,17
