Creek	Basin	year	Relative.percent.RBT	pred_pi	pi	pred_ho	ho	pred_Het.Hom	Het.Hom	pred_Tajimas.theta.4Nu	Tajimas.theta.4Nu	pred_Wattersons.theta.4Nu	Wattersons.theta.4Nu	pred_ne.rand	ne.rand	pred_theta_diff	theta_diff	pred_LDNe_0.01	LDNe_0.01	pred_LDNe_0.02	LDNe_0.02	LDNe_0.05	n
Toe Jam	Rock	2017	0.0176470588235294	0.0164490625221491	0.0162522643636796	0.0180897221504385	0.0177570275929046	0.0183563142244241	0.0178545778921151	0.000235070063789731	0.000249156	0.00023011677598882	0.000212834	35.0396927213443	35	0.0212959068372132	0.157241498733739	NA	NA	NA	NA	NA	17
Unnamed	Marys	2016	0.3	0.0254341011594886	0.0325572732352393	0.0286006875733457	0.0356366797044763	0.0301727234963968	0.0403727380171068	0.000306911507345487	0.000453488	0.000361919788941925	0.000478376	12.6747762628571	12	-0.164490752456653	-0.0534155198612673	NA	NA	NA	NA	NA	4
Upper Wolf	Walker	2015	0.818181818181818	0.0639158145609539	0.0865068964019489	0.0759502756608602	0.0985578639251803	0.0850135555282512	0.123556693327648	0.000141556542278646	0.000244315	0.000287211448319037	0.000462157	32.8402988987017	31	-0.67941128645053	-0.61670384672004	NA	NA	NA	NA	NA	9
Washburn	Quinn	1997	0.235294117647059	0.012748029891453	0.0154284271676984	0.0132500236662894	0.0168034044548731	0.0180984749039813	0.0168540200760164	0.000179195653891618	0.000201208	0.000241483644410601	0.000308345	35.6554927302203	31	-0.296130523989961	-0.420513665899327	NA	NA	NA	NA	NA	17
Washburn	Quinn	2016	0	0.0127480299211492	0.0135045419595615	0.0154256157299455	0.0156903830632644	0.0108441487105532	0.0132993436887907	0.000191536093981415	0.000157277	0.000257238547842631	0.000203956	19.8737435543738	24	-0.292808228175139	-0.258442611832252	NA	NA	NA	NA	NA	8
West Marys	Marys	2000	0	0.0148069367439862	0.0150130548302872	0.0143084317652181	0.0150130548302872	0.016573194811602	0.0152212761484285	0.000220894686636253	0.000141075	0.000208026699970488	0.000144184	NA	NA	0.0600016090014328	-0.0217977346902289	NA	NA	NA	NA	NA	2
West Marys	Marys	2016	0.04	0.0148069371159634	0.0139442478425529	0.0161405092925075	0.0146892655367232	0.0190559547528236	0.0183143180278869	0.000270905795006654	0.00030318	0.000291767333582039	0.000278563	20.0899701683808	20	-0.0741515367108795	0.084631873524907	NA	NA	NA	NA	NA	5
Whitehorse	Coyote Lake	2011	0.0375	0.0120963758710093	0.011702455485178	0.012640521167398	0.0121883570182	0.0143186113917592	0.0123050915390766	0.000169883142900742	0.000151784	0.000270442701688755	0.000294639	21.084347032857	21	-0.45675065419683	-0.639998387179872	NA	NA	NA	NA	NA	8
Wildcat	Marys	2000	0	0.0172041520786246	0.0170023022857884	0.0186435718787344	0.0186584565658881	0.0208475801105119	0.0205778082273307	0.000226306579810675	0.000218126	0.000224466251675373	0.000185812	25.1829428034938	24	0.00816521319279454	0.159994850694909	NA	NA	NA	NA	NA	16
Wildcat	Marys	2017	0.109090909090909	0.0172041521577168	0.0186742455331425	0.0205901542514794	0.0221899569357196	0.0203079794136671	0.0226121240459074	0.000272292255107698	0.000264695	0.000285054357425512	0.000292698	11.0624303829997	12	-0.04579592673869	-0.100478477483571	252.084053999816	182.6	252.084053999816	182.6	NA	11
Willow-Nelson	Rock	2009	0.0571428571428571	0.0169484725396446	0.0186913005545438	0.0180191781979317	0.0209755477030575	0.0225995158553969	0.0229208497603951	0.000231928968193025	0.000271218	0.000237986154161447	0.00026854	37.3867379166908	32	-0.025779915053905	0.00992296547712119	NA	NA	NA	NA	NA	14
Willow-Nelson	Rock	2017	0	0.0169484723727796	0.0158183009226034	0.0189352169615764	0.0165285279692059	0.0198429670528337	0.0207555878004873	0.000238847920227791	0.000235067	0.000236659433360465	0.00020816	30.7417908952817	36	0.00920484972865681	0.121414083528305	NA	NA	NA	NA	NA	8
Willow	Coyote Lake	1996	0.025	0.0135153037443196	0.0133918497913242	0.0133603561461693	0.0134034165571616	0.0168408134727596	0.0161659974610031	0.000179557719823507	0.000178872	0.00028665291769474	0.000310583	28.0562313552379	28	-0.459428375299744	-0.538194522479084	NA	NA	NA	NA	NA	8
