variable	nested_ryear	nested_fyear	rbasin_fyear	rbasin_nocreek_fyear
Het.Hom	-432.467473560298	-415.306432859362	43.8415708048558	-410.104808491865
ho	-488.862600666135	-473.5293753897	19.5596496702498	-465.538755592221
pi	-504.955096098166	-489.244076246797	19.415747743453	-483.621015118089
ne.rand	632.903965152614	632.00624966937	258.605720301845	630.006249669544
LDNe_0.01	NA	NA	NA	154.0417787206
LDNe_0.02	NA	NA	NA	154.0417787206
Tajimas.theta.4Nu	-1350.86406628077	-1329.1636576288	-154.256107712862	-1331.16365762877
Wattersons.theta.4Nu	-1290.29605125665	-1266.38027945388	-144.229361747777	-1268.33499988217
