Creek	Basin	year	Relative.percent.RBT	pred_pi	pi	pred_ho	ho	pred_Het.Hom	Het.Hom	pred_Tajimas.theta.4Nu	Tajimas.theta.4Nu	pred_Wattersons.theta.4Nu	Wattersons.theta.4Nu	pred_ne.rand	ne.rand	theta_diff	pred_theta_diff	n	LDNe_0.01	LDNe_0.02	LDNe_0.05
2nd Boulder	East Fork Humboldt	2016	0	0.023412844450569	0.024981603	0.0283682584747462	0.030013892	0.0351611179953259	0.039858382	0.000157788584962619	0.000146891958051433	0.000203438559521821	0.000193057033430587	16.0000000000233	16	-0.271600013742625	-0.25274941408047	10	NA	NA	NA
4th Boulder	East Fork Humboldt	2016	0.17	0.0234332650043895	0.027823335	0.0296744980060273	0.034556654	0.0361738209276532	0.044970798	0.000186877309798827	0.000206901162435796	0.000226366867131121	0.000249066223086516	26.382373217649	26	-0.184947704548736	-0.191119727932615	10	NA	NA	NA
Abel	Little Humboldt	2016	0.206666667	0.0173704535593338	0.020911367	0.0189944668504955	0.022639868	0.0207453716529001	0.026094086	0.000156331054929446	0.000158539735589267	0.000266937796465207	0.000316725475860989	36.464845873186	36	-0.665673550096475	-0.522631141749815	15	NA	NA	NA
Andorno	Quinn	2016	0	0.0147780538724067	0.014648685	0.0154724151299543	0.015281385	0.0163063905500098	0.016036304	0.000148986027968596	0.000144264061855489	0.000189208296175059	0.000175189945850118	21.0000000000001	21	-0.193617129531389	-0.237864832937749	7	NA	NA	NA
Basin	Marys	2016	0.22	0.0207625209967265	0.0248032	0.0220684429260793	0.025835592	0.0230784512105669	0.02667554	0.00028172677595861	0.000319851846494598	0.000331963680151804	0.000402153116665913	14.4948359287225	14	-0.227979790640354	-0.163720663057387	5	NA	NA	NA
Beaver	Maggie	2009	0.27	0.017186718580986	0.016194917	0.0175457841648572	0.016357487	0.0161973562342635	0.017946015	0.000205405905131441	0.000226946184047441	0.000228319901560692	0.000269897073558117	31.9284149291824	33	-0.172895128808509	-0.105661208421089	10	3.2	3.2	3.2
Beaver	Maggie	2015	0.118181818	0.0177503755599839	0.024081345	0.0182772599092537	0.024830672	0.0254077817695849	0.024619869	0.000196394967574578	0.000212688855387761	0.000235422040121143	0.000225209696843674	26.9447046636496	25	-0.0571860372321833	-0.180757459067317	11	NA	NA	NA
Big Alvord	Steens out of basin	2000	0	0.00671858556559663	0.005396825	0.00674346910877644	0.005668934	0.0073168666228531	0.005041751	5.04048835790379e-05	3.99988905829708e-05	6.76101479140514e-05	4.04846602952661e-05	6.00000000000011	6	-0.0120712793358291	-0.29157750698937	3	NA	NA	NA
By-Day	Walker	2015	0.411764706	0.0452512382879554	0.055100842	0.053656004948931	0.063145313	0.0577547046975865	0.069452292	0.000133682752807003	0.000176442294444935	0.000295527791085993	0.000393349333215579	16.926163503221	16	-0.761355654386269	-0.754152201439579	16	NA	NA	NA
Colman	Black Rock	2016	0.05	0.0163973952842896	0.01670849	0.0176448236954521	0.018089608	0.0171635706750454	0.016628891	0.000152098102261099	0.000133622018604651	0.000216623497388851	0.000201836474418605	29.1124627110734	29	-0.4066938666491	-0.34999520065551	14	21.4	21.4	65.9
